updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_1~_2~_5~_6,10,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_1~_2~_5~_6,34,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_1~_2~_5~_6,193,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scattering,,,,,REP,Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_1~_2~_5~_6,3,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Dave Westlake,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,53,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,4,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,8,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,106,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scattering,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,0,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Dave Westlake,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,46,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,5,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,29,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,49,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scattering,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,0,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Dave Westlake,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,46,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,6,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,32,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,84,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scattering,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,2,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Dave Westlake,,,,,REP,Waukesha,"Town Of Genesee Wards 1-5, 9 10",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-5~_9_10,68,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Genesee Wards 1-5, 9 10",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-5~_9_10,9,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Genesee Wards 1-5, 9 10",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-5~_9_10,131,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Genesee Wards 1-5, 9 10",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-5~_9_10,70,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scattering,,,,,REP,Waukesha,"Town Of Genesee Wards 1-5, 9 10",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-5~_9_10,0,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Dave Westlake,,,,,REP,Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_merton_wards_1~_2~_3~_7~_8~_9,96,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Spencer Zimmerman,,,,,REP,Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_merton_wards_1~_2~_3~_7~_8~_9,12,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Scott Owens,,,,,REP,Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_merton_wards_1~_2~_3~_7~_8~_9,38,,,,,2015
2018-07-15 21:31:12.587000,wi-2015-09-01-special-primary,2015-09-01 00:00:00,2015-09-01 00:00:00,primary,certified,True,State Assembly,99,Cindi Duchow,,,,,REP,Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_merton_wards_1~_2~_3~_7~_8~_9,106,,,,,2015
